SimulationTraderName,PMTraderName,SimulationStrategyName
DLv_SQbu@10.101.7.2@40510,DLv_SQbu@192.168.1.55@11210,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3
DLv_SQru@10.101.7.2@40511,DLv_SQru@192.168.1.55@11211,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3
DLv_ZZMA@10.101.7.2@40512,DLv_ZZMA@192.168.1.55@11212,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3
DLv_ZZTA@10.101.7.2@40513,DLv_ZZTA@192.168.1.55@11213,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3
ZZMA_SQbu@10.101.7.2@40514,ZZMA_SQbu@192.168.1.55@11214,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3
ZZMA_SQru@10.101.7.2@40515,ZZMA_SQru@192.168.1.55@11215,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3
SQal_SQni@10.101.7.2@40601,SQal_SQni@192.168.1.55@11301,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQal_SQsn@10.101.7.2@40602,SQal_SQsn@192.168.1.55@11302,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQal_SQzn@10.101.7.2@40603,SQal_SQzn@192.168.1.55@11303,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQau2_SQag@10.101.7.2@40604,SQau2_SQag@192.168.1.55@11304,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQcu_SQal@10.101.7.2@40605,SQcu_SQal@192.168.1.55@11305,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQcu_SQni@10.101.7.2@40606,SQcu_SQni@192.168.1.55@11306,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQzn_SQni@10.101.7.2@40607,SQzn_SQni@192.168.1.55@11307,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
SQzn_SQsn@10.101.7.2@40608,SQzn_SQsn@192.168.1.55@11308,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3
ZZAP_DLa@10.101.7.1@41201,ZZAP_DLa@192.168.1.29@11801,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_DLc@10.101.7.1@41202,ZZAP_DLc@192.168.1.29@11802,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_DLcs@10.101.7.1@41203,ZZAP_DLcs@192.168.1.29@11803,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_DLjd@10.101.7.1@41204,ZZAP_DLjd@192.168.1.29@11804,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_DLm@10.101.7.1@41205,ZZAP_DLm@192.168.1.29@11805,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
ZZAP_DLp@10.101.7.1@41206,ZZAP_DLp@192.168.1.29@11806,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComF3
