0_name_trader,allocation_0,allocation_scaler_0,allocation_scaler_1,allocation_scaler_2,name_0_strategy,name_1_super,name_2_super,MixMultiplier_on_strategy,MixPercentage_on_strategy,MixMultiplier_AIO,Strategy_Scaler
DLa@192.168.1.17@55501,0.02067052492287,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.5094329979757509,0.1000000000000002,0.05094329979757519,2.8029277175978624
DLa@192.168.1.17@55502,0.020058022116383,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.4943376318860392,0.1000000000000002,0.04943376318860402,2.8029277175978624
DLa@192.168.1.17@55503,0.0209618889281171,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.5166137753991161,0.1000000000000002,0.051661377539911714,2.8029277175978624
DLcs@192.168.1.17@55504,0.0259266355955152,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6389718571798262,0.1000000000000002,0.06389718571798275,2.8029277175978624
DLcs@192.168.1.17@55505,0.0258374029335896,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6367726840745599,0.1000000000000002,0.06367726840745612,2.8029277175978624
DLcs@192.168.1.17@55506,0.025775068089563,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6352364179860442,0.1000000000000002,0.06352364179860455,2.8029277175978624
DLj@192.168.1.17@55510,0.0107264204174679,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.26435673652259983,0.1000000000000002,0.026435673652260037,2.8029277175978624
DLj@192.168.1.17@55511,0.00998103598097352,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.245986451803431,0.1000000000000002,0.02459864518034315,2.8029277175978624
DLj@192.168.1.17@55512,0.00964911223192727,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.23780606397066262,0.1000000000000002,0.02378060639706631,2.8029277175978624
DLjd@192.168.1.17@55507,0.0106037569882785,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.2613336493631246,0.1000000000000002,0.02613336493631251,2.8029277175978624
DLjd@192.168.1.17@55508,0.0101407537407903,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.24992275712306078,0.1000000000000002,0.02499227571230613,2.8029277175978624
DLjd@192.168.1.17@55509,0.010833151104656,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.2669871551574981,0.1000000000000002,0.026698715515749864,2.8029277175978624
DLl@192.168.1.17@55513,0.0246035500214011,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6063639068198589,0.1000000000000002,0.06063639068198601,2.8029277175978624
DLl@192.168.1.17@55514,0.024814186392567,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6115551208043211,0.1000000000000002,0.061155512080432226,2.8029277175978624
DLl@192.168.1.17@55515,0.025419874183947,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6264825282384029,0.1000000000000002,0.06264825282384041,2.8029277175978624
DLm@192.168.1.17@55516,0.0150194641653203,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.3701604427695453,0.1000000000000002,0.0370160442769546,2.8029277175978624
DLm@192.168.1.17@55517,0.015534662830757,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.38285771106175676,0.1000000000000002,0.03828577110617575,2.8029277175978624
DLm@192.168.1.17@55518,0.0158623059602967,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.3909326013884602,0.1000000000000002,0.0390932601388461,2.8029277175978624
DLp@192.168.1.17@55519,0.0213445037773017,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.526043464795852,0.1000000000000002,0.0526043464795853,2.8029277175978624
DLp@192.168.1.17@55520,0.0247604079441673,8.79272860884443,2.18632032134307,1.28202976033997,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3,Day,Allocation ss8,0.6102297303608287,0.1000000000000002,0.06102297303608299,2.8029277175978624
